ID,CPS,CPS.2009,IL.original,IL.2009,,,,
343,WEST RIDGE,WEST RIDGE,West Ridge Elem School,West Ridge Elem School,,,,
344,WESTCOTT,WESTCOTT,Westcott Elem School,Westcott Elem School,,,,
345,WHISTLER,WHISTLER,Whistler Elem School,Whistler Elem School,,,,
346,WHITE,WHITE,White Elem Career Academy,White Elem Career Academy,,,,
347,WHITNEY,WHITNEY,Whitney Elem School,Whitney Elem School,,,,
348,WHITTIER,WHITTIER,Whittier Elem School,Whittier Elem School,,,,
349,WILDWOOD,WILDWOOD,Wildwood Elem School,Wildwood Elem School,,,,
350,WOODSON,WOODSON SOUTH,Woodson South Elem School,Woodson South Elem School,,,,
351,YATES,YATES,Yates Elem School,Yates Elem School,,,,
352,YOUNG,YOUNG,Young Elem School,Young Elem School,,,,
353,ZAPATA,ZAPATA,Zapata Elem Academy,Zapata Elem Academy,,,,
354,JENNER,JENNER,Jenner Elem Academy Of The Arts,Jenner Elem Academy Of The Arts,,,,
355,STEWART,STEWART,Stewart Elem School,Stewart Elem School,,,,
356,VON HUMBOLDT,VON HUMBOLDT,Von Humboldt Elem School,Von Humboldt Elem School,,,,
357,YALE,YALE,Yale Elem School,Yale Elem School,,,,
358,HENSON,HENSON,Henson Elem School,Henson Elem School,,,,
359,MARCONI,MARCONI,Marconi Elem Community Academy,Marconi Elem Community Academy,,,,
360,CALHOUN NORTH,CALHOUN NORTH,Calhoun North Elem School,Calhoun North Elem School,,,,
361,LATHROP,LATHROP,Lathrop Elem School,Lathrop Elem School,,,,
362,MCCORKLE,MCCORKLE,McCorkle Elem School,McCorkle Elem School,,,,
363,DUMAS,DUMAS,Dumas Elem School,Dumas Elem School,,,,
364,REED,REED,Reed Elem School,Reed Elem School,,,,
365,PADEREWSKI,PADEREWSKI,Paderewski Elem Learning Academy,Paderewski Elem Learning Academy,,,,
366,OVERTON,OVERTON,Overton Elem School,Overton Elem School,,,,
367,GUGGENHEIM,GUGGENHEIM,Guggenheim Elem School,Guggenheim Elem School,,,,
368,STOCKTON,STOCKTON,Stockton Elem School,Stockton Elem School,,,,
369,TRUMBULL,TRUMBULL,Trumbull Elem School,Trumbull Elem School,,,,
370,HERBERT,HERBERT,Herbert Elem School,Herbert Elem School,,,,
371,WOODS ACADEMY,WOODS ACADEMY,Woods Elem Math & Science Academy,Woods Elem Math & Science Academy,,,,
372,CARPENTER,CARPENTER,Carpenter Elem School,Carpenter Elem School,,,,
373,COPERNICUS,COPERNICUS,Copernicus Elem School,Copernicus Elem School,,,,
374,DELANO,DELANO,Delano Elem School,Delano Elem School,,,,
375,EMMET,EMMET,Emmet Elem School,Emmet Elem School,,,,
376,FERMI,FERMI,Fermi Elem School,Fermi Elem School,,,,
377,GOODLOW MAGNET,GOODLOW MAGNET,Goodlow Elem Magnet School,Goodlow Elem Magnet School,,,,
378,KEY,KEY,Key Elem School,Key Elem School,,,,
379,KING,KING,King Elem School,King Elem School,,,,
380,KOHN,KOHN,Kohn Elem School,Kohn Elem School,,,,
381,LAFAYETTE,LAFAYETTE,Lafayette Elem School,Lafayette Elem School,,,,
382,LAWRENCE,LAWRENCE,Lawrence Elem School,Lawrence Elem School,,,,
383,MAY,MAY,May Elem Community Academy,May Elem Community Academy,,,,
384,MAYO,MAYO,Mayo Elem School,Mayo Elem School,,,,
385,MEDILL,MEDILL,Medill Elem School,Medill Elem School,,,,
386,MORGAN,MORGAN,Morgan Elem School,Morgan Elem School,,,,
387,ROSS,ROSS,Ross Elem School,Ross Elem School,,,,
388,PARKMAN,PARKMAN,Parkman Elem School,Parkman Elem School,,,,
389,PEABODY,PEABODY,Peabody Elem School,Peabody Elem School,,,,
390,BONTEMPS,BONTEMPS,Bontemps Elem School,Bontemps Elem School,,,,
391,POPE,POPE,Pope Elem School,Pope Elem School,,,,
392,WEST PULLMAN,WEST PULLMAN,West Pullman Elem School,West Pullman Elem School,,,,
393,SCHILLER,SCHILLER,Schiller Elem School,Schiller Elem School,,,,
394,SCHNEIDER,SCHNEIDER,Schneider Elem School,Schneider Elem School,,,,
395,RYERSON,RYERSON,Ryerson Elem School,Ryerson Elem School,,,,
396,SEXTON A O,SEXTON A O,Sexton Elem School,Sexton Elem School,,,,
397,SONGHAI,SONGHAI,Songhai Elem Learning Institute,Songhai Elem Learning Institute,,,,
398,ABBOTT,ABBOTT,Abbott Elem School,Abbott Elem School,,,,
399,ALTGELD,ALTGELD,Altgeld Elem School,Altgeld Elem School,,,,
400,ATTUCKS,ATTUCKS,Attucks Elem School,Attucks Elem School,,,,
401,NEW BROWN,NEW BROWN,"Brown, W Elem School","Brown, W Elem School",,,,
402,GOLDBLATT,GOLDBLATT,Goldblatt Elem School,,,,,
403,CLAREMONT ACADEMY,CLAREMONT ACADEMY,Claremont Academy Elem School,Claremont Academy Elem School,,,,
404,BETHUNE,BETHUNE,Bethune Elem School,Bethune Elem School,,,,
405,BANNEKER,BANNEKER,Banneker Elem School,Banneker Elem School,,,,
