"","X.1","X","school_add","school_nm","population","prop.population","all.races","prop.all.races","white","prop.white","af.am","prop.af.am","hispanic","prop.hispanic","am.ind","prop.am.ind","asian","prop.asian","nh.pi","prop.nh.pi","prop.school.black","prop.school.white","prop.school.hispanic","prop.school.asian","prop.school.pi","prop.school.multi","prop.school.EL","prop.school.lowincome","total.students","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4","white.prop.difference","white.prop.difference.percent","med.income","med.rent","total.income","income.10k","income.15k","income.20k","income.25k","income.30k","income.35k","income.40k","income.50k","income.60k","income.75k","income.100k","income.125k","income.150k","income.200k","income.more","home.total","home.owners","lnorm.gini","lnorm.sd","ela.grade3.mean","ela.grade3.sd","ela.grade3.chisq","math.grade3.mean","math.grade3.sd","math.grade3.chisq","ela.grade5.mean","ela.grade5.sd","ela.grade5.chisq","math.grade5.mean","math.grade5.sd","math.grade5.chisq","largest.group","school.white","school.black","school.hispanic","school.asian","race.chi.sq","most.common.group"
"296",296,296,"525 N ARMOUR ST","OTIS",5721,1,5721,1,4053,0.708442579968537,232,0.0405523509875896,1803,0.315154693235448,58,0.0101380877468974,198,0.0346093340325118,6,0.0010487676979549,0.15,6.1,77.7,0.7,0.5,0,2.5,0.211,440,9.1,9.1,59.1,22.7,8,4,60,28,0,23.7,63.2,13.2,2.6,13.2,81.6,2.6,0,47.4,47.4,5.3,2.6,17.9,79.5,0,-64.7442579968537,-0.913895632864545,67.5410770844258,989.788148925013,2613.14810016625,0.0306883205125134,0.0343841541303513,0.0194287264405424,0.0278678012532207,0.0102125054689589,0.0357381159989721,0.0181795633613478,0.0169733680194735,0.0286407641485763,0.0470669903064694,0.0909030488496064,0.110596189140885,0.134980625840918,0.0794852069914958,0.146819128476963,2613.14810016625,0.42843317814447,0.732956162958828,149.339348178011,2.94949494949495,0.825285817821124,33.2951997344017,3.08,0.8,18.3925252898632,2.57575757575758,0.590587896150757,6.539927973705,2.78571428571429,0.45971752869079,22.776293478025,0.777,26,66,341,3,NA,"White"
"297",297,297,"6550 S SEELEY AV","O'TOOLE",6618,1,6618,1,63,0.00951949229374433,6426,0.970988213961922,121,0.0182834693260804,3,0.000453309156844968,0,0,0,0,0.995,0,0.5,0,0,0,2.5,0.003,757,14.1,40,41.2,4.7,22.6,26.2,40.5,10.7,2.5,65.4,29.6,2.5,3.8,42.5,51.3,2.5,0,58.2,36.7,5.1,1.3,48.7,46.2,3.8,NA,NA,35.0193117255969,938.389090359625,1630.17353094432,0.131074013990622,0.0760915308227682,0.156487701913274,0.143827746416634,0.0588733746956402,0.0660541383167273,0.0644554497949878,0.0517021691027202,0.0385050482806374,0.0403566477733064,0.0709032304312111,0.0428045981192302,0.0190454568877869,0.023050937995051,0.00838347848977256,1630.17353094432,0.496913195090754,0.684433310185739,46.6823747199342,2.35353535353535,0.773451465610959,8.84347486414647,2.38775510204082,0.948494771287258,26.3478196320626,2.46464646464646,0.594415015348761,10.5100035453615,2.52040816326531,0.57847278200474,10.8528114089835,0.995,0,0,0,0,NA,"Black"
"298",298,298,"6800 S STEWART AV","PARKER",2296,1,2296,1,14,0.00609756097560976,2251,0.980400696864111,29,0.0126306620209059,1,0.000435540069686411,6,0.00261324041811847,0,0,0.989,0,1.1,0,0,0,2.5,0.004,717,16.2,48.6,32.4,2.7,32,28,30.7,9.3,3.2,50.8,42.9,3.2,1.6,34.9,61.9,1.6,3.3,65,25,6.7,1.7,61.7,36.7,0,-0.609756097560976,-1,18.6402900696864,645.909407665505,881.103331219902,0.288622245718856,0.136783694818227,0.105403842551693,0.113354594239482,0.0744200720698726,0.0274337749744481,0.0555920851224704,0.0457379447543987,0.0333235268301046,0.0357074091154168,0.0248148688714282,0.0277145478183842,0.0177273663740718,0.00462239691802385,0.00440293457096344,881.103331219902,0.123650287750507,0.667935245043509,36.6006034505031,2.20408163265306,0.731601599563523,21.0176395122168,2.16161616161616,0.986718646777997,71.1482380269582,2.34343434343434,0.641452690631739,22.1169108303454,2.35714285714286,0.502570711032417,38.1540908712131,0.989,0,709,7,0,NA,"Black"
"299",299,299,"6040 N KILPATRICK AV","SAUGANASH",7402,1,7402,1,5807,0.784517697919481,69,0.00932180491758984,883,0.119292083220751,14,0.00189138070791678,1021,0.137935693055931,0,0,0.029,52.9,25.7,18,0.4,0,2.5,0.102,510,3.6,18.2,45.5,32.7,1.8,5.4,37.5,55.4,0,8.8,49.1,42.1,0,1.8,70.2,28.1,0,18.5,29.6,51.9,0,7.4,68.5,24.1,-25.5517697919481,-0.325700361632513,100.941175087814,1073.44623074845,3015.66060834836,0.0546857654846806,0.0296424759769082,0.00595462773718236,0.0355284521032744,0.0219619936630584,0.0243427249575149,0.0406066704283894,0.0234647802793158,0.0329474089669819,0.0188171161581084,0.0753763724978931,0.080849150874756,0.071013906878396,0.0876641844851049,0.167550417508435,3015.66060834836,0.929707886903548,0.723374802813396,146.57776242549,3.08163265306122,0.795262640760123,43.5749274152482,3.48979591836735,0.646080936476239,71.2361269118176,3.33673469387755,0.772516006587184,142.971920357218,3.17171717171717,0.535293244836351,75.2523061833163,0.529,269,14,131,91,NA,"White"
"300",300,300,"245 W 51ST ST","PARKMAN",1311,1,1311,1,18,0.0137299771167048,1191,0.908466819221968,109,0.0831426392067124,0,0,3,0.0022883295194508,0,0,0.882,0.7,11.1,0,0,0,2.5,0.059,153,0,56.3,37.5,6.3,6.3,37.5,50,6.3,7.7,61.5,30.8,0,7.7,53.8,38.5,0,8.3,79.2,12.5,0,0,70.8,29.2,0,-0.672997711670481,-0.490166666666667,38.866060259344,1192.15865751335,470.325598492024,0.189380964928186,0.0706246771711359,0.139044425031909,0.193177088786454,0.0177177776179829,0.0871234465166296,0.0436128586856138,0.0917405596513592,0.0217529252805511,0.0187368652637351,0.0443054129451421,0.00909234392201802,0.0701264695800936,0.00276015387625552,0.000726531071736329,470.325598492024,0.178941349916418,0.650322252217791,32.1973241364616,2.49494949494949,0.612351395946061,25.9402232895713,2.56565656565657,0.702206669991052,26.4652051392858,2.04040404040404,0.449924980576511,99.0853070129663,2.29292929292929,0.457422353230807,62.2661973217278,0.882,1,134,16,0,NA,"Black"
"301",301,301,"749 S OAKLEY BL","IRVING",3985,1,3985,1,1735,0.435382685069009,666,0.167126725219573,995,0.249686323713927,18,0.00451693851944793,984,0.246925972396487,3,0.000752823086574655,0.622,3.7,30.7,3,0.2,0.2,2.5,0.061,508,10.4,29.2,50,10.4,8,18,50,24,5.4,35.7,44.6,14.3,1.8,19.6,64.3,14.3,0,24.5,60.4,15.1,0,13.2,64.2,22.6,-39.8382685069009,-0.915017291066282,68.7262168130489,1150.64667503137,1429.91164798953,0.140858091585124,0.0599036576203242,0.06639819051725,0.0484076368744077,0.0456406474995403,0.0185382754003983,0.0291639251962655,0.045755394801309,0.0252260560675181,0.0729478551657993,0.0786212188923035,0.107571215562555,0.0549311454833587,0.0354072478709053,0.109560923096961,1429.91164798953,0.329223692226993,0.698804122261237,88.4338212879838,2.60606060606061,0.80582296402538,3.05079516108618,2.9,0.858704685776046,0.833953443922638,2.90909090909091,0.624187783932359,19.5661757449411,3.09090909090909,0.590587896150757,54.8459732019073,0.622,18,315,155,15,NA,"White"
"302",302,302,"7037 S RHODES AV","PARK MANOR",4543,1,4543,1,20,0.00440237728373322,4418,0.972485141976667,34,0.00748404138234647,22,0.00484261501210654,4,0.000880475456746643,0,0,0.997,0,0,0.3,0,0,2.5,0.003,379,10.5,34.2,39.5,15.8,7.9,31.6,47.4,13.2,8.1,54.1,37.8,0,2.7,54.1,40.5,2.7,0,43.3,46.7,10,0,56.7,43.3,0,-0.440237728373322,-1,32.093317631521,812.389170151882,1639.49641001081,0.22166658099534,0.0876455295999831,0.0782464243310736,0.0677339201411302,0.0387817364695952,0.0412967823594869,0.0799372606504419,0.0243490444448195,0.0570572335953588,0.0364905907578898,0.0793282080511655,0.0651139835431283,0.0627062579801087,0.0171165153651519,0.0328994146357451,1639.49641001081,0.295997227225784,0.657638531609734,42.0568180147188,2.60204081632653,0.870357148145037,0.801628509219634,2.6734693877551,0.796584334609973,9.84760612603762,2.66666666666667,0.654653670707977,2.22455477436986,2.43434343434343,0.498192982885396,26.5780684764203,0.997,0,377,0,1,NA,"Black"
"303",303,303,"6938 S EAST END AV","PARKSIDE COMM ACAD",3123,1,3123,1,18,0.00576368876080692,3022,0.96765930195325,51,0.0163304514889529,3,0.000960614793467819,2,0.00064040986231188,0,0,0.995,0,0.5,0,0,0,2.5,0.016,377,17.5,57.5,25,0,12.8,35.9,51.3,0,2.9,54.3,42.9,0,0,42.9,57.1,0,0,59.1,38.6,2.3,0,59.1,40.9,0,-0.576368876080692,-1,25.4567259045789,645.328530259366,1588.13904568128,0.314070514816028,0.055678948611839,0.0814261082722357,0.0841438835529522,0.0346483503156491,0.0454978701495335,0.0769685513051442,0,0.0247907473550368,0.0542980560742805,0.0534168600575946,0.0577153883000608,0.044157809311541,0.0176691410277103,0.00798346101263896,1588.13904568128,0.164143969514425,0.624780754350979,33.5627608761537,2.08080808080808,0.649595913277076,39.5457278582793,2.39795918367347,0.69962870739683,33.7724092454519,2.42424242424242,0.536255138235392,15.042332038655,2.4040404040404,0.49320261016887,32.6729639571819,0.995,0,375,1,0,NA,"Black"
"304",304,304,"5825 S KOSTNER AV","PASTEUR",12919,1,12919,1,8065,0.62427432463813,265,0.0205124235621952,9354,0.724049849059525,72,0.00557318677916247,113,0.00874680702840777,5,0.000387026859664061,0.015,7.9,89.9,0.6,0.1,0,0.2,1.25,1,6.4,46.2,41.5,5.8,3.4,22.5,50.6,23.6,3.8,29.9,53.5,12.7,1.3,20.1,69.2,9.4,1.3,44.3,44.3,10.1,0.7,28.9,61.8,8.6,-54.527432463813,-0.873453068815871,51.1483046675439,923.151327502129,4028.92426592871,0.042810383183474,0.0191454072941509,0.0399560892963096,0.0856781352070408,0.0720565977483862,0.05608112480262,0.0362082577329337,0.0688023770666145,0.0442826039406876,0.0968301480502157,0.0641149521263232,0.0866317066067602,0.110747039221392,0.0965654802915252,0.043275605550664,4028.92426592871,0.624697994371374,0.7176778924009,97.8622849974026,2.45918367346939,0.691157214975848,9.26836285528376,2.94897959183673,0.764852239346151,4.72234208022041,2.63636363636364,0.676946105450501,0.66197182255997,2.79381443298969,0.576233176361374,2.44368642721643,0.899,0,0,0,0,NA,"Hispanic"
"305",305,305,"1444 W AUGUSTA BL","PEABODY",4447,1,4447,1,2542,0.571621317742298,1036,0.232966044524398,1070,0.240611648302226,24,0.005396896784349,143,0.0321565100067461,2,0.00044974139869575,0.281,2.3,69.6,0,0,0,2.5,0.304,263,10,45,40,5,0,31.6,68.4,0,0,59.3,33.3,7.4,10.7,35.7,50,3.6,0,29.2,54.2,16.7,0,29.2,70.8,0,-54.8621317742298,-0.959763571990559,53.2918054868451,931.08275241736,2056.98083526069,0.0631327295743144,0.0871844402889459,0.0200040419287983,0.0258122386156614,0.0244329328821119,0.0379966255091098,0.00305081612653805,0.00337835872097222,0.0213982511828532,0.0204728050341509,0.0521777907418998,0.0634917583007671,0.0981732921438679,0.121918093242958,0.18728395559049,2056.98083526069,0.302107159939471,0.726351150583838,215.281057191193,2.4,0.738548945875996,7.42439764306402,2.68686868686869,0.466127438264859,46.1656708078735,2.86868686868687,0.664653732872785,11.4815216955812,2.70707070707071,0.457422353230807,9.83231724969749,0.696,6,73,183,0,NA,"White"
