ID,CPS,IL.original
168,HOYNE,Hoyne Elem School
169,"HUGHES, C",Hughes  C Elem School
170,"HUGHES, L",Hughes L Elem School
171,HURLEY,Hurley Elem School
172,IRVING,Irving Elem School
173,"JACKSON, M",Jackson M Elem School
174,JAHN,Jahn Elem School
175,JAMIESON,Jamieson Elem School
176,JENSEN,Jensen Elem Scholastic Academy
177,JOHNSON,Johnson Elem School
178,JOPLIN,Joplin Elem School
179,JORDAN,Jordan Elem Community School
180,JUNGMAN,Jungman Elem School
181,KANOON,Kanoon Elem Magnet School
182,KELLOGG,Kellogg Elem School
183,KILMER,Kilmer Elem School
184,KINZIE,Kinzie Elem School
185,KIPLING,Kipling Elem School
186,KOZMINSKI,Kozminski Elem Community Academy
187,LANGFORD,Langford A Elem School
188,LARA,Lara Elem Academy
189,LAVIZZO,Lavizzo Elem School
190,LAWNDALE,Lawndale Elem Community Academy
191,LEE,Lee Elem School
192,LELAND,Leland Elem School
193,LEWIS,Lewis Elem School
194,LIBBY,Libby Elem School
195,LINCOLN,Lincoln Elem School
196,LITTLE VILLAGE,Little Village Elem School
197,LLOYD,Lloyd Elem School
198,"LOCKE, J",Locke  J Elem School
199,LOGANDALE,Avondale - Logandale Elementary School
200,LORCA,Garcia Lorca Elem School
201,LOVETT,Lovett Elem School
202,LOWELL,Lowell Elem School
203,LOZANO,Lozano Elem Bilingual & Intl Ctr
204,LYON,Lyon Elem School
205,MADISON,Madison Elem School
206,MANIERRE,Manierre Elem School
207,MANN,Mann Elem School
208,MARQUETTE,Marquette Elem School
209,MARSH,Marsh Elem School
210,MASON,Mason Elem School
211,MAYER,Mayer Elem School
212,MAYS,Mays Elem Academy
213,MCAULIFFE,McAuliffe Elem School
214,MCCLELLAN,McClellan Elem School
215,MCCORMICK,McCormick Elem School
216,MCCUTCHEON,McCutcheon Elem School
217,MCDOWELL,McDowell Elem School
218,MCKAY,McKay Elem School
219,MCNAIR,McNair Elem School
220,MCPHERSON,McPherson Elem School
221,MELODY,Melody Elem School
222,METCALFE,Metcalfe Elem Community Academy
223,MIRELES,Mireles Elem Academy
224,MITCHELL,Mitchell Elem School
225,MOLLISON,Mollison Elem School
226,MONROE,Monroe Elem School
227,MOOS,Moos Elem School
228,MORRILL,Morrill Elem Math & Sci School
229,MORTON,Morton Elem Career Academy
230,MOUNT GREENWOOD,Mount Greenwood Elem School
231,MOUNT VERNON,Mount Vernon Elem School
232,MOZART,Mozart Elem School
233,MURPHY,Murphy Elem School
234,NASH,Nash Elem School
235,NATIONAL TEACHERS,National Teachers Elem Academy
236,NEIL,Neil Elem School
237,NETTELHORST,Nettelhorst Elem School
238,NEW FIELD,New Field Elem School
239,NEW SULLIVAN,Sullivan Elem School
240,NICHOLSON TECH ACAD,Nicholson Technology Acad Elem Sch
241,NIGHTINGALE,Nightingale Elem School
242,NIXON,Nixon Elem School
243,NOBEL,Nobel Elem School
244,NORWOOD PARK,Norwood Park Elem School
245,OGDEN,Ogden Elem School
246,OGLESBY,Oglesby Elem School
247,O'KEEFFE,OKeeffe Elem School
248,ONAHAN,Onahan Elem School
249,ORIOLE PARK,Oriole Park Elem School
250,ORTIZ DE DOMINGUEZ,Ortiz De Dominguez Elem School
251,OTIS,Otis Elem School
252,O'TOOLE,OToole Elem School
