"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"79","Crown Elem Comm Acd Fine Arts Ctr","Chicago","ELEMENTARY","150162990252147",15.9,36.4,40.9,6.8,20.5,25,47.7,6.8,3.2,54.8,25.8,16.1,9.7,22.6,61.3,6.5,2.5,35,52.5,10,0,30,65,5
"80","Darwin Elem School","Chicago","ELEMENTARY","150162990252148",3.8,41.5,52.8,1.9,3.8,20.8,60.4,15.1,4.9,36.1,54.1,4.9,0,18,75.4,6.6,0,53.8,32.1,14.1,0,24.1,62,13.9
"81","Davis, N Elem School","Chicago","ELEMENTARY","150162990252149",8.5,49.4,36.9,5.1,6.7,19.1,50.6,23.6,3,45.5,40.7,10.8,3,29,55,13,0.7,50,44.3,5,1.4,43.2,54,1.4
"82","Dawes Elem School","Chicago","ELEMENTARY","150162990252150",6.3,25.4,51.6,16.7,6.3,12.7,57.1,23.8,0,34.4,52.8,12.8,2.4,16.8,68.8,12,1.8,21.8,62.7,13.6,0,16.4,70.9,12.7
"83","Delano Elem School","Chicago","ELEMENTARY","150162990252152",11.4,29.5,43.2,15.9,18.6,27.9,44.2,9.3,0,47.6,50,2.4,0,31.7,65.9,2.4,0,47.6,52.4,0,0,33.3,66.7,0
"84","Deneen Elem School","Chicago","ELEMENTARY","150162990252153",18.8,44.9,30.4,5.8,15.9,31.9,49.3,2.9,4.9,36.6,46.3,12.2,12.2,22,56.1,9.8,2.9,85.3,11.8,0,2.9,61.8,35.3,0
"85","Dett Elem School","Chicago","ELEMENTARY","150162990252154",17.9,57.1,25,0,14.3,35.7,42.9,7.1,3.8,23.1,38.5,34.6,3.8,7.7,65.4,23.1,2.9,38.2,44.1,14.7,0,35.3,61.8,2.9
"86","Chopin Elem School","Chicago","ELEMENTARY","150162990252155",0,6.3,65.6,28.1,6.3,3.1,31.3,59.4,0,27.6,37.9,34.5,0,9.7,64.5,25.8,0,35,55,10,0,21.1,73.7,5.3
"87","Dever Elem School","Chicago","ELEMENTARY","150162990252158",3.7,19.5,54.9,22,2.4,6.1,45.1,46.3,0,21.3,43.6,35.1,0,16,69.1,14.9,1.2,18.3,62.2,18.3,0,22,65.9,12.2
"88","Dewey Elem Academy Of Fine Arts","Chicago","ELEMENTARY","150162990252159",0,30.2,51.2,18.6,0,18.6,46.5,34.9,0,38.9,52.8,8.3,0,20,60,20,7.1,46.4,46.4,0,7.1,50,42.9,0
"89","Disney Elem Magnet School","Chicago","ELEMENTARY","150162990252160",3.8,20,45.7,30.5,1.4,7.1,34.3,57.1,0.6,15.3,53.5,30.6,0.6,11.2,48.2,40,0,19.6,52.4,28,0,11.3,67.9,20.8
"90","Dixon Elem School","Chicago","ELEMENTARY","150162990252161",9.2,24.6,46.2,20,6.2,10.8,43.1,40,0,36.1,50.8,13.1,1.6,23,67.2,8.2,0,19.7,68.9,11.5,0,29.5,70.5,0
"91","Dore Elem School","Chicago","ELEMENTARY","150162990252167",3.3,16.4,77,3.3,1.6,6.6,60.7,31.1,1.5,19.4,53.7,25.4,1.5,10.8,66.2,21.5,0,14.1,53.1,32.8,0,10.9,84.4,4.7
"92","Drake Elem School","Chicago","ELEMENTARY","150162990252169",16,32,44,8,12,36,40,12,0,30.4,60.9,8.7,4.3,17.4,65.2,13,0,42.4,54.5,3,3,39.4,57.6,0
"93","Drummond Elem School","Chicago","ELEMENTARY","150162990252172",0,9.1,68.2,22.7,4.5,0,50,45.5,0,5.3,63.2,31.6,0,0,68.4,31.6,0,24,72,4,0,40,60,0
"94","Dubois Elem School","Chicago","ELEMENTARY","150162990252173",15.4,65.4,11.5,7.7,15.4,34.6,42.3,7.7,0,69.6,30.4,0,4.3,43.5,52.2,0,0,53.1,46.9,0,0,62.5,37.5,0
"95","Dulles Elem School","Chicago","ELEMENTARY","150162990252175",6.3,45.3,43.8,4.7,12.5,17.2,57.8,12.5,3.3,63.3,30,3.3,0,40,56.7,3.3,10.3,69.2,20.5,0,0,59,41,0
"96","Dumas Elem School","Chicago","ELEMENTARY","150162990252176",24.4,51.2,24.4,0,33.3,31,35.7,0,5.1,53.8,35.9,5.1,5.1,23.1,64.1,7.7,2.6,51.3,43.6,2.6,0,66.7,33.3,0
"97","Dunne Elem Math, Sci & Tech Acad","Chicago","ELEMENTARY","150162990252177",9.1,27.3,47.7,15.9,13.6,15.9,50,20.5,5.3,42.1,44.7,7.9,0,35.9,51.3,12.8,2.2,32.6,52.2,13,0,37,56.5,6.5
"98","Dvorak Elem Specialty Academy","Chicago","ELEMENTARY","150162990252179",6.3,32.8,53.1,7.8,4.7,12.5,54.7,28.1,5.8,40.6,42,11.6,7.2,29,59.4,4.3,0,66.1,25,8.9,0,44.6,44.6,10.7
"99","Earle Elem School","Chicago","ELEMENTARY","150162990252180",15.6,48.9,31.1,4.4,6.7,24.4,62.2,6.7,12.9,61.3,19.4,6.5,6.5,45.2,48.4,0,0,66.7,24.4,8.9,2.2,48.9,46.7,2.2
"100","Eberhart Elem School","Chicago","ELEMENTARY","150162990252181",8.7,40.2,45.7,5.5,8,24.1,43.8,24.1,2.7,34.1,52.3,10.9,2.3,21.3,66.5,10,0.5,35.7,53.1,10.8,0.9,22.4,69.6,7
"101","Ebinger Elem School","Chicago","ELEMENTARY","150162990252182",3.3,16.7,31.7,48.3,3.3,3.3,21.7,71.7,1.6,10.9,31.3,56.3,0,4.7,34.4,60.9,0,7.4,59.3,33.3,1.9,1.9,63,33.3
"102","Edgebrook Elem School","Chicago","ELEMENTARY","150162990252183",0,6.8,33.9,59.3,0,0,18.6,81.4,0,6,24,70,0,0,32,68,0,8,36,56,0,0,60,40
"103","Edison Elem Regional Gifted Cntr","Chicago","ELEMENTARY","150162990252184",0,0,3.6,96.4,0,0,10.7,89.3,0,0,7.1,92.9,0,0,25,75,0,3.3,6.7,90,0,0,50,50
"104","Edwards Elem School","Chicago","ELEMENTARY","150162990252185",9.1,37.1,46.9,7,4.8,15.8,50.7,28.8,6.5,43.2,41.7,8.6,2.9,28.8,58.3,10.1,1.8,42.5,44.2,11.5,0,34.5,60.3,5.2
"105","Ellington Elem School","Chicago","ELEMENTARY","150162990252187",6.3,42.9,46,4.8,17.5,34.9,34.9,12.7,2.5,45,47.5,5,2.5,35,60,2.5,2.7,45.9,43.2,8.1,0,37.8,59.5,2.7
"106","Armstrong, L Elem Math & Sci","Chicago","ELEMENTARY","150162990252188",4.8,66.7,23.8,4.8,19,38.1,33.3,9.5,2.6,44.7,52.6,0,5.3,34.2,60.5,0,0,54.7,39.6,5.7,0,47.2,49.1,3.8
"107","Emmet Elem School","Chicago","ELEMENTARY","150162990252189",10.9,41.8,36.4,10.9,10.9,41.8,32.7,14.5,1.6,50.8,41,6.6,3.3,37.7,52.5,6.6,2,66,30,2,0,51,46.9,2
"108","Ericson Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252190",5.7,48.6,40,5.7,11.4,25.7,57.1,5.7,3.3,44.3,41,11.5,0,34.4,59,6.6,3.6,41.1,41.1,14.3,0,50,48.2,1.8
"109","Esmond Elem School","Chicago","ELEMENTARY","150162990252191",4.7,30.2,55.8,9.3,11.6,34.9,39.5,14,2.4,47.6,42.9,7.1,0,29.3,61,9.8,0,48.6,42.9,8.6,0,25,72.2,2.8
"110","Everett Elem School","Chicago","ELEMENTARY","150162990252192",7.1,38.1,52.4,2.4,16.3,20.9,55.8,7,0,30.8,59.6,9.6,0,29.6,61.1,9.3,2.6,43.6,35.9,17.9,0,23.1,74.4,2.6
"111","Evers Elem School","Chicago","ELEMENTARY","150162990252193",2.1,21.3,61.7,14.9,2.1,14.9,57.4,25.5,0,41.2,47.1,11.8,0,2.9,91.2,5.9,0,17.8,53.3,28.9,0,24.4,71.1,4.4
"112","Falconer Elem School","Chicago","ELEMENTARY","150162990252194",9.1,33.8,47.5,9.6,9.5,13.9,52.2,24.4,3.8,27.5,53.1,15.6,0.9,17,66,16,0.5,38.5,47.5,13.5,1,24.5,66.5,8
"113","Faraday Elem School","Chicago","ELEMENTARY","150162990252195",16,44,32,8,12,36,36,16,3.4,75.9,10.3,10.3,0,17.2,75.9,6.9,0,63.6,27.3,9.1,0,40.9,50,9.1
"114","Farnsworth Elem School","Chicago","ELEMENTARY","150162990252198",5.2,19,63.8,12.1,1.7,1.7,68.3,28.3,0,31.5,40.7,27.8,1.8,12.5,53.6,32.1,0,28.2,59,12.8,0,26.3,65.8,7.9
"115","Fermi Elem School","Chicago","ELEMENTARY","150162990252201",18.9,40.5,35.1,5.4,29.7,29.7,35.1,5.4,13.3,53.3,26.7,6.7,6.7,60,33.3,0,0,46.7,46.7,6.7,0,46.7,53.3,0
"116","Fernwood Elem School","Chicago","ELEMENTARY","150162990252202",5.9,32.4,44.1,17.6,8.8,23.5,26.5,41.2,0,40.5,50,9.5,0,18.6,65.1,16.3,2.6,36.8,44.7,15.8,2.6,21.1,71.1,5.3
"117","Field Elem School","Chicago","ELEMENTARY","150162990252203",NA,NA,NA,NA,NA,NA,NA,NA,0,55.7,37.1,7.1,5.7,33.3,56.3,4.6,1.4,45.1,45.1,8.5,8.8,42.5,47.5,1.3
"118","Fiske Elem School","Chicago","ELEMENTARY","150162990252204",10.9,45.5,38.2,5.5,10.7,14.3,62.5,12.5,0,50,40.6,9.4,0,15.6,68.8,15.6,0,39.3,53.6,7.1,0,35.7,64.3,0
"119","Fort Dearborn Elem School","Chicago","ELEMENTARY","150162990252206",8.3,34.7,44.4,12.5,15.3,15.3,47.2,22.2,0,39.3,39.3,21.3,1.6,21.3,72.1,4.9,0,40.6,48.4,10.9,0,17.2,76.6,6.3
"120","Franklin Elem Fine Arts Center","Chicago","ELEMENTARY","150162990252207",3.4,10.3,41.4,44.8,0,13.8,24.1,62.1,0,16.1,45.2,38.7,0,9.7,45.2,45.2,0,15.6,40.6,43.8,0,0,68.8,31.3
"121","Fuller Elem School","Chicago","ELEMENTARY","150162990252209",20.7,51.7,27.6,0,24.1,41.4,34.5,0,5.3,52.6,31.6,10.5,10.5,42.1,42.1,5.3,2.9,79.4,17.6,0,0,64.7,35.3,0
"122","Fulton Elem School","Chicago","ELEMENTARY","150162990252210",17.9,48.2,32.1,1.8,21.8,30.9,41.8,5.5,10.1,68.1,21.7,0,10.6,51.5,37.9,0,1.8,76.4,21.8,0,3.6,60,34.5,1.8
"123","Funston Elem School","Chicago","ELEMENTARY","150162990252211",10.3,42.6,41.2,5.9,5.9,23.5,54.4,16.2,7.6,45.5,36.4,10.6,3,36.4,51.5,9.1,0,61.8,33.8,4.4,0,27.5,68.1,4.3
"124","Gale Elem Community Academy","Chicago","ELEMENTARY","150162990252212",10,58.6,28.6,2.9,19.7,33.8,39.4,7,10.2,46.9,34.7,8.2,0,34.7,61.2,4.1,4.1,32.7,57.1,6.1,4.1,26.5,69.4,0
"125","Gallistel Elem Language Academy","Chicago","ELEMENTARY","150162990252213",4.9,32.4,46.5,16.2,0.7,9.6,58.2,31.5,2.3,36.7,46.9,14.1,2.3,12.5,71.1,14.1,0.7,50.7,42.3,6.3,0,23.6,72.9,3.6
"126","Garvy, J Elem School","Chicago","ELEMENTARY","150162990252214",4.7,12.9,49.4,32.9,2.3,4.6,52.9,40.2,0,19.1,48.5,32.4,1.5,8.8,63.2,26.5,0,21.4,48.6,30,0,18.3,77.5,4.2
"127","Gary Elem School","Chicago","ELEMENTARY","150162990252215",15.5,49.5,32.7,2.3,6.8,27.1,55.2,10.9,8,54.6,31.3,6.1,6.7,30.7,57.7,4.9,0,54.5,41.7,3.8,0.6,37.2,58.3,3.8
"128","Woods Elem Math & Science Academy","Chicago","ELEMENTARY","150162990252216",5.6,22.2,40.7,31.5,1.9,9.3,55.6,33.3,6.4,48.9,40.4,4.3,6.4,38.3,51.1,4.3,2,66.7,27.5,3.9,0,47.1,49,3.9
"129","Goethe Elem School","Chicago","ELEMENTARY","150162990252220",7.1,28.2,55.3,9.4,1.2,23.8,60.7,14.3,1.9,15.1,69.8,13.2,0,1.9,69.8,28.3,0,29.6,54.9,15.5,0,5.6,81.7,12.7
"130","Goldblatt Elem School","Chicago","ELEMENTARY","150162990252221",14.9,31.9,48.9,4.3,8.5,23.4,61.7,6.4,2.9,57.1,37.1,2.9,0,25.7,68.6,5.7,0,43.5,52.2,4.3,0,52.2,47.8,0
"131","Gompers Elem Fine Arts Opt School","Chicago","ELEMENTARY","150162990252222",NA,NA,NA,NA,NA,NA,NA,NA,3.9,48.7,43.4,3.9,5.3,21.1,72.4,1.3,1.4,55.4,37.8,5.4,0,48.6,44.6,6.8
"132","Goudy Elem School","Chicago","ELEMENTARY","150162990252223",6,23.9,50.7,19.4,13.4,9,44.8,32.8,1.6,34.4,45.9,18,0,15,51.7,33.3,0,45.6,42.1,12.3,0,31.6,59.6,8.8
"133","Graham, A Elem School","Chicago","ELEMENTARY","150162990252224",5.3,33.3,52.6,8.8,10.5,17.5,59.6,12.3,1.9,31.5,44.4,22.2,0,27.8,51.9,20.4,0,41.1,44.6,14.3,0,34.5,58.2,7.3
"134","Gray Elem School","Chicago","ELEMENTARY","150162990252226",7.5,30.1,52.1,10.3,7.5,12.3,56.8,23.3,0,27.1,56.6,16.3,0.8,17.1,67.4,14.7,0.8,38.2,48,13,0,20.3,63.4,16.3
"135","Greeley Elem School","Chicago","ELEMENTARY","150162990252227",8.9,53.3,35.6,2.2,4.2,31.3,54.2,10.4,0,22.6,58.5,18.9,0,14.5,60,25.5,0,20,60,20,0,14,84.2,1.8
"136","Greene, N Elem School","Chicago","ELEMENTARY","150162990252229",3.5,29.1,50,17.4,3.4,2.3,38.6,55.7,2.2,35.2,48.4,14.3,1.1,19.6,68.5,10.9,1.1,32.2,46.7,20,0,24.4,64.4,11.1
"137","Gregory Math & Sci Elem Academy","Chicago","ELEMENTARY","150162990252230",11.4,36.4,31.8,20.5,4.5,18.2,54.5,22.7,2.8,41.7,55.6,0,2.8,16.7,77.8,2.8,0,62.9,28.6,8.6,0,48.6,48.6,2.9
"138","Gresham Elem School","Chicago","ELEMENTARY","150162990252231",12.8,40.4,44.7,2.1,12.8,23.4,55.3,8.5,3.6,54.5,36.4,5.5,0,32.7,63.6,3.6,2.1,46.8,46.8,4.3,0,38.3,59.6,2.1
"139","Grimes Elem School","Chicago","ELEMENTARY","150162990252232",4.2,27.1,45.8,22.9,8.2,8.2,59.2,24.5,0,25,51.9,23.1,0,8.9,62.5,28.6,0,34.7,46.9,18.4,0,14,82,4
"140","Guggenheim Elem School","Chicago","ELEMENTARY","150162990252233",0,29.4,64.7,5.9,0,41.2,52.9,5.9,0,51.6,38.7,9.7,3.2,19.4,67.7,9.7,0,73.7,26.3,0,0,63.2,36.8,0
"141","Haines Elem School","Chicago","ELEMENTARY","150162990252235",2.9,27.9,45.6,23.5,2.9,7.2,27.5,62.3,0,33.8,45.5,20.8,0,7.2,60.2,32.5,1.3,35.4,43,20.3,0,13.1,67.9,19
"142","Gillespie Elem School","Chicago","ELEMENTARY","150162990252236",10.5,54.4,31.6,3.5,14.5,43.6,38.2,3.6,5.2,65.5,27.6,1.7,15.5,41.4,41.4,1.7,2,71.4,26.5,0,0,73.5,26.5,0
"143","Hale Elem School","Chicago","ELEMENTARY","150162990252239",5.8,35,45.6,13.6,4.9,19.4,48.5,27.2,1,32,53,14,2,11,69,18,0,25,60.2,14.8,0,20.5,77.3,2.3
"144","Hamilton Elem School","Chicago","ELEMENTARY","150162990252240",8.7,34.8,39.1,17.4,4.3,17.4,60.9,17.4,7.7,30.8,30.8,30.8,7.7,23.1,53.8,15.4,0,26.7,60,13.3,6.7,13.3,80,0
"145","Hamline Elem School","Chicago","ELEMENTARY","150162990252241",16.7,43.3,37.8,2.2,15.2,16.3,55.4,13,1.2,49.4,38.8,10.6,1.2,20,62.4,16.5,0,45.2,49.3,5.5,0,24.7,58.9,16.4
"146","Hammond Elem School","Chicago","ELEMENTARY","150162990252242",14.5,52.7,30.9,1.8,5.5,25.5,56.4,12.7,7,55.8,32.6,4.7,0,44.2,41.9,14,0,67.4,32.6,0,2.2,30.4,67.4,0
"147","Harte Elem School","Chicago","ELEMENTARY","150162990252244",4.7,30.2,44.2,20.9,4.7,14,37.2,44.2,0,32.8,56.9,10.3,3.3,10,73.3,13.3,1.8,23.6,54.5,20,1.8,10.9,74.5,12.7
"148","Harvard Elem School","Chicago","ELEMENTARY","150162990252246",20.6,32.4,33.8,13.2,17.6,19.1,44.1,19.1,10.4,54.2,29.2,6.3,2.1,22.9,70.8,4.2,7,59.6,29.8,3.5,1.8,57.1,41.1,0
"149","Haugan Elem School","Chicago","ELEMENTARY","150162990252247",9.1,31.5,50.3,9.1,7.9,22.4,42.4,27.3,8,38,41.3,12.7,2.7,25.3,62,10,2.1,45.2,41.8,11,0.7,34.9,58.2,6.2
"150","Hawthorne Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252249",1.5,4.6,36.9,56.9,1.5,4.6,18.5,75.4,0,11.9,25.4,62.7,0,0,42.4,57.6,0,11.1,28.6,60.3,0,6.3,44.4,49.2
"151","Hayt Elem School","Chicago","ELEMENTARY","150162990252252",1.4,36.5,40.5,21.6,2.7,12.2,37.8,47.3,0,21.6,50.5,27.8,0,11.9,67.3,20.8,0,31.4,59.3,9.3,1.2,29.1,65.1,4.7
"152","Healy Elem School","Chicago","ELEMENTARY","150162990252254",0.7,22.9,52.8,23.6,0,3.5,38.9,57.6,1.6,28.9,42.2,27.3,0,6.9,57.3,35.9,0,20.3,54.1,25.7,0,12.4,58.2,29.4
"153","Hearst Elem School","Chicago","ELEMENTARY","150162990252255",12.1,48.5,34.8,4.5,24.2,21.2,43.9,10.6,5.9,56.9,33.3,3.9,5.9,41.2,52.9,0,3.7,63,29.6,3.7,5.6,59.3,35.2,0
"154","Hedges Elem School","Chicago","ELEMENTARY","150162990252256",18.9,36.8,34,10.4,10.9,25.5,43.6,20,3.7,51.9,37,7.4,9.5,27.4,54.8,8.3,1.1,55.6,33.3,10,0,41.8,49.5,8.8
"155","Hefferan Elem School","Chicago","ELEMENTARY","150162990252257",8.9,40,42.2,8.9,2.2,35.6,55.6,6.7,0,50,45,5,0,22.5,65,12.5,2.1,20.8,45.8,31.3,4.2,16.7,62.5,16.7
"156","Henderson Elem School","Chicago","ELEMENTARY","150162990252258",16,52,32,0,30,38,30,2,5.8,80.8,13.5,0,13.5,50,36.5,0,0,60.4,37.5,2.1,0,41.7,56.3,2.1
"157","Hendricks Elem Community Academy","Chicago","ELEMENTARY","150162990252259",3.7,11.1,48.1,37,3.7,0,44.4,51.9,4.2,41.7,45.8,8.3,4,8,88,0,0,43.5,43.5,13,4.3,34.8,60.9,0
"158","Henry Elem School","Chicago","ELEMENTARY","150162990252260",12.8,47.9,34,5.3,7.2,19.6,67,6.2,4.1,48.6,43.2,4.1,2.6,30.3,57.9,9.2,1.3,53.2,39,6.5,0,23.4,72.7,3.9
"159","Henson Elem School","Chicago","ELEMENTARY","150162990252261",13.3,62.2,24.4,0,9.3,48.8,34.9,7,3.2,64.5,29,3.2,3.3,40,53.3,3.3,0,54.5,36.4,9.1,0,42.4,57.6,0
"160","Herbert Elem School","Chicago","ELEMENTARY","150162990252262",27.3,38.6,29.5,4.5,26.3,26.3,34.2,13.2,5.9,44.1,44.1,5.9,3.3,13.3,83.3,0,7.1,57.1,26.2,9.5,0,32.4,61.8,5.9
"161","Herzl Elem School","Chicago","ELEMENTARY","150162990252263",18.4,35.5,38.2,7.9,25,27.6,36.8,10.5,4.2,52.1,33.3,10.4,6.3,33.3,54.2,6.3,0,53.8,33.3,12.8,2.6,48.7,48.7,0
"162","Hibbard Elem School","Chicago","ELEMENTARY","150162990252265",8.6,36.4,42.6,12.3,3.1,14.7,60.7,21.5,1.4,23.9,58,16.7,2.1,19.3,67.1,11.4,0.7,28,50.3,21,0,17.4,65.3,17.4
"163","Higgins Elem Community Academy","Chicago","ELEMENTARY","150162990252266",4.5,36.4,56.8,2.3,4.5,27.3,52.3,15.9,0,36.4,43.2,20.5,2.3,6.8,72.7,18.2,0,44.7,53.2,2.1,0,14.9,85.1,0
"164","Hinton Elem School","Chicago","ELEMENTARY","150162990252267",12.2,46.3,39,2.4,24.4,26.8,34.1,14.6,0,52.5,47.5,0,2.5,35,57.5,5,4.8,64.3,26.2,4.8,0,58.5,41.5,0
"165","Hitch Elem School","Chicago","ELEMENTARY","150162990252268",2.5,30,40,27.5,0,7.5,47.5,45,7.3,31.7,41.5,19.5,0,17.1,73.2,9.8,1.9,30.2,43.4,24.5,0,18.9,73.6,7.5
"166","Holden Elem School","Chicago","ELEMENTARY","150162990252269",4.9,40.7,43.2,11.1,6,9.6,54.2,30.1,4.6,50.8,36.9,7.7,4.5,28.8,63.6,3,0,25.9,58.6,15.5,1.7,10.3,81,6.9
"167","Holmes Elem School","Chicago","ELEMENTARY","150162990252270",16.1,48.4,30.6,4.8,16.1,32.3,38.7,12.9,7.1,66.7,26.2,0,12.5,40,47.5,0,2.4,69,21.4,7.1,4.8,54.8,38.1,2.4
"168","Howe Elem School","Chicago","ELEMENTARY","150162990252273",22.7,42.7,33.3,1.3,25.3,20,45.3,9.3,6.8,57.6,33.9,1.7,10.2,32.2,55.9,1.7,0,62,32,6,2,38,58,2
"169","Hoyne Elem School","Chicago","ELEMENTARY","150162990252275",11.5,25,51.9,11.5,5.8,17.3,46.2,30.8,0,48,40,12,10,20,62,8,2.6,28.2,51.3,17.9,2.6,15.4,76.9,5.1
"170","Hughes, C Elem School","Chicago","ELEMENTARY","150162990252276",19,45.2,33.3,2.4,33.3,16.7,45.2,4.8,4.9,53.7,24.4,17.1,0,24.4,63.4,12.2,0,45.9,48.6,5.4,0,33.3,61.1,5.6
"171","Hurley Elem School","Chicago","ELEMENTARY","150162990252280",2.9,39,50.5,7.6,0,14.3,56.2,29.5,0,19.4,61.3,19.4,0,9.7,64.5,25.8,1,37.1,52.4,9.5,1.9,21,73.3,3.8
"172","Irving Elem School","Chicago","ELEMENTARY","150162990252281",10.4,29.2,50,10.4,8,18,50,24,5.4,35.7,44.6,14.3,1.8,19.6,64.3,14.3,0,24.5,60.4,15.1,0,13.2,64.2,22.6
"173","Jackson, A Elem Language Acad","Chicago","ELEMENTARY","150162990252283",0,1.6,45.3,53.1,0,0,21.9,78.1,0,5,41.7,53.3,0,0,41,59,0,3.2,37.1,59.7,0,3.1,50,46.9
"174","Jahn Elem School","Chicago","ELEMENTARY","150162990252284",7.3,23.6,47.3,21.8,3.6,7.3,34.5,54.5,5.1,35.9,43.6,15.4,0,17.9,61.5,20.5,0,27.1,52.1,20.8,0,20.8,72.9,6.3
"175","Jamieson Elem School","Chicago","ELEMENTARY","150162990252285",0,20.5,49.3,30.1,0,9.6,35.6,54.8,0,17.4,55.8,26.7,0,12,59.8,28.3,0,20.2,50.6,29.2,0,17.6,57.1,25.3
"176","Jenner Elem Academy Of The Arts","Chicago","ELEMENTARY","150162990252287",14.6,66.7,16.7,2.1,16.3,49,30.6,4.1,13.3,55.6,28.9,2.2,13.3,42.2,40,4.4,0,57.1,40,2.9,2.8,50,47.2,0
"177","Jensen Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252288",14.6,20.8,56.3,8.3,10.4,33.3,52.1,4.2,2.1,35.4,52.1,10.4,0,27.1,64.6,8.3,0,38.9,52.8,8.3,0,25,72.2,2.8
"178","Pilsen Elem Community Academy","Chicago","ELEMENTARY","150162990252289",13.8,27.7,47.7,10.8,15.2,13.6,34.8,36.4,2.4,45.2,40.5,11.9,2.2,22.2,57.8,17.8,0,57.9,31.6,10.5,0,42.1,47.4,10.5
"179","Johnson Elem School","Chicago","ELEMENTARY","150162990252290",13.2,50,31.6,5.3,15.8,34.2,44.7,5.3,6.7,60,20,13.3,3.3,30,66.7,0,3.8,53.8,34.6,7.7,0,61.5,38.5,0
"180","Jungman Elem School","Chicago","ELEMENTARY","150162990252292",15.8,44.7,36.8,2.6,28.2,17.9,43.6,10.3,3.2,51.6,45.2,0,0,40.6,56.3,3.1,3.6,57.1,28.6,10.7,0,42.9,57.1,0
"181","Kellogg Elem School","Chicago","ELEMENTARY","150162990252293",0,15.2,39.4,45.5,0,6.1,48.5,45.5,0,30.8,53.8,15.4,0,11.5,73.1,15.4,3.4,10.3,55.2,31,0,6.9,65.5,27.6
"182","Kershaw Elem School","Chicago","ELEMENTARY","150162990252294",25,36.1,36.1,2.8,31.4,22.9,42.9,2.9,12,48,40,0,12,36,52,0,0,45,45,10,0,35,60,5
"183","Key Elem School","Chicago","ELEMENTARY","150162990252295",15.4,35.9,43.6,5.1,25.6,30.8,41,2.6,10.6,63.8,25.5,0,8.7,45.7,45.7,0,0,59.6,38.3,2.1,0,51.1,48.9,0
"184","Kilmer Elem School","Chicago","ELEMENTARY","150162990252296",11.3,29.9,43.3,15.5,6.9,16.8,43.6,32.7,0,23.9,38,38,0,8,48,44,0,38.9,48.6,12.5,0,18.2,67.5,14.3
"185","King Elem School","Chicago","ELEMENTARY","150162990252297",19.4,55.6,25,0,20,45.7,31.4,2.9,6.5,54.8,35.5,3.2,3.2,38.7,48.4,9.7,2.9,54.3,37.1,5.7,0,57.1,42.9,0
"186","Kinzie Elem School","Chicago","ELEMENTARY","150162990252299",1.6,21.3,62.3,14.8,0,9.8,65.6,24.6,1.7,20.7,51.7,25.9,0,5.2,65.5,29.3,0,27.7,54.2,18.1,1.2,21.4,63.1,14.3
"187","Kipling Elem School","Chicago","ELEMENTARY","150162990252300",0,14,56.1,29.8,0,5.3,35.1,59.6,0,21.9,57.8,20.3,0,6.3,60.9,32.8,1.9,24.1,51.9,22.2,0,22.2,70.4,7.4
"188","Kohn Elem School","Chicago","ELEMENTARY","150162990252301",11.4,24.1,39.2,25.3,20.3,17.7,36.7,25.3,6.3,55.6,36.5,1.6,6.3,33.3,54,6.3,2,58,34,6,4.1,53.1,42.9,0
"189","Lozano Elem Bilingual & Intl Ctr","Chicago","ELEMENTARY","150162990252303",5.3,42.1,50,2.6,5.3,18.4,60.5,15.8,5.9,52.9,29.4,11.8,0,32.4,55.9,11.8,0,50,40,10,0,30,70,0
"190","Kozminski Elem Community Academy","Chicago","ELEMENTARY","150162990252304",10,30,43.3,16.7,20,25,46.7,8.3,8,58,26,8,6,24,64,6,2,41.2,49,7.8,0,25.5,72.5,2
"191","Lafayette Elem School","Chicago","ELEMENTARY","150162990252305",12.9,32.3,50,4.8,6.5,24.2,58.1,11.3,2.1,56.3,39.6,2.1,4.2,33.3,47.9,14.6,2.1,60.4,31.3,6.3,2,37.3,60.8,0
"192","LaSalle Elem Language Academy","Chicago","ELEMENTARY","150162990252306",0,4.8,43.5,51.6,0,4.8,27.4,67.7,0,6.3,32.8,60.9,0,3.1,40.6,56.3,0,11.8,35.3,52.9,0,8.8,58.8,32.4
"193","Lathrop Elem School","Chicago","ELEMENTARY","150162990252307",3.4,37.9,55.2,3.4,3.4,3.4,62.1,31,11.1,66.7,22.2,0,0,66.7,33.3,0,0,65.6,34.4,0,3.1,68.8,25,3.1
"194","Lawndale Elem Community Academy","Chicago","ELEMENTARY","150162990252309",8,61.3,28,2.7,12.2,21.6,55.4,10.8,6.7,45,48.3,0,1.7,30.5,64.4,3.4,2.4,45.2,38.1,14.3,0,40.5,57.1,2.4
